fighter,fight_url,event_date,career_fights_before,career_wins,career_losses,career_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,career_win_by_ko,career_win_by_sub,career_win_by_dec,avg_scorecard_margin,career_avg_kd,career_avg_sig_str_landed,career_avg_sig_str_att,career_avg_sig_str_pct,career_avg_total_str_landed,career_avg_total_str_att,career_avg_td_landed,career_avg_td_att,career_avg_td_pct,career_avg_sub_att,career_avg_reversals,career_avg_ctrl_seconds,career_avg_head_landed,career_avg_head_att,career_avg_body_landed,career_avg_body_att,career_avg_leg_landed,career_avg_leg_att,career_avg_distance_landed,career_avg_distance_att,career_avg_clinch_landed,career_avg_clinch_att,career_avg_ground_landed,career_avg_ground_att,weight_class,std_career_avg_kd,std_career_avg_sig_str_landed,std_career_avg_sig_str_att,std_career_avg_sig_str_pct,std_career_avg_total_str_landed,std_career_avg_total_str_att,std_career_avg_td_landed,std_career_avg_td_att,std_career_avg_td_pct,std_career_avg_sub_att,std_career_avg_reversals,std_career_avg_ctrl_seconds,std_career_avg_head_landed,std_career_avg_head_att,std_career_avg_body_landed,std_career_avg_body_att,std_career_avg_leg_landed,std_career_avg_leg_att,std_career_avg_distance_landed,std_career_avg_distance_att,std_career_avg_clinch_landed,std_career_avg_clinch_att,std_career_avg_ground_landed,std_career_avg_ground_att,career_style,height_cms,reach_cms,age,fighter_rank_wc,fighter_rank_pfp
AJ Cunningham,http://www.ufcstats.com/fight-details/4e566db7d26df001,2024-03-02,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Lightweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,177.8,180.34,29.48,,
AJ Cunningham,http://www.ufcstats.com/fight-details/29d9c5a3f2b78903,2025-03-15,1,0,1,0,0,1,0,0,0,0,,0.0,36.0,75.0,0.48,36.0,77.0,0.0,0.0,,0.0,0.0,26.0,15.0,49.0,10.0,14.0,11.0,12.0,34.0,72.0,2.0,3.0,0.0,0.0,Bantamweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,177.8,180.34,30.52,,
AJ Dobson,http://www.ufcstats.com/fight-details/c16bda7548181613,2022-02-12,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Middleweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,185.42,193.04,30.07,15.0,
AJ Dobson,http://www.ufcstats.com/fight-details/1b204fc28bb023e6,2022-10-22,1,0,1,0,0,1,0,0,0,0,-3.0,0.0,41.0,69.0,0.59,46.0,75.0,0.0,0.0,,0.0,0.0,10.0,33.0,61.0,4.0,4.0,4.0,4.0,37.0,62.0,4.0,7.0,0.0,0.0,Middleweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,185.42,193.04,30.76,15.0,
AJ Dobson,http://www.ufcstats.com/fight-details/560a971c6ab8b854,2023-08-12,2,0,2,0,0,2,0,0,0,0,-6.0,0.0,28.0,55.5,0.47,31.5,59.5,1.0,1.0,1.0,0.0,0.0,22.0,21.0,46.5,2.5,4.5,4.5,4.5,26.0,52.0,2.0,3.5,0.0,0.0,Middleweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,185.42,193.04,31.56,15.0,
AJ Dobson,http://www.ufcstats.com/fight-details/d564e3a6c77d0c85,2024-03-23,3,1,2,0,1,0,1,0,0,1,-3.0,0.0,30.0,58.666666666666664,0.48666666666666664,33.0,62.666666666666664,1.0,1.0,1.0,0.0,0.0,19.0,16.0,41.333333333333336,5.0,8.0,9.0,9.333333333333334,27.666666666666668,54.333333333333336,1.3333333333333333,2.3333333333333335,1.0,2.0,Middleweight,-0.8140362840259088,2.7270877139070135,2.438293695706389,-0.014838466464825936,1.676371346808867,2.0223835689200587,1.2775970581846858,-0.10459986206190171,1.8744546707375072,-0.6946047932411846,-0.440292769467851,-0.820037120851475,1.536536954068792,1.8112525288785915,0.9402873955359928,1.2978322678674854,3.30282203725503,2.530970812586543,3.21313205748005,2.5884211854150645,-0.4480709349909035,-0.24146496973547385,-0.567553541254716,-0.399554302343156,Striker,185.42,193.04,32.18,15.0,
AJ Fletcher,http://www.ufcstats.com/fight-details/3b06c512abfa0494,2022-03-12,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Welterweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,177.8,170.18,25.06,,
AJ Fletcher,http://www.ufcstats.com/fight-details/4dac5258f22be059,2022-08-20,1,0,1,0,0,1,0,0,0,0,-3.0,0.0,6.0,9.0,0.66,22.0,29.0,1.0,2.0,0.5,2.0,1.0,271.0,4.0,7.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,5.0,Welterweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,177.8,170.18,25.5,,
AJ Fletcher,http://www.ufcstats.com/fight-details/435ba9b407b844ef,2023-02-18,2,0,2,0,0,2,0,0,0,0,-3.5,0.0,13.5,35.0,0.5,21.5,45.0,0.5,2.0,0.25,1.0,0.5,135.5,9.5,29.0,2.5,4.0,1.5,2.0,11.5,31.5,0.0,1.0,2.0,2.5,Welterweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,177.8,170.18,26.0,,
AJ Fletcher,http://www.ufcstats.com/fight-details/bf647be41de365e4,2023-09-23,3,1,2,0,1,0,1,0,1,0,-3.5,0.0,10.666666666666666,28.0,0.45,21.0,40.333333333333336,0.3333333333333333,1.3333333333333333,0.25,0.6666666666666666,0.3333333333333333,151.0,8.0,23.0,1.6666666666666667,3.0,1.0,2.0,7.666666666666667,22.666666666666668,0.0,0.6666666666666666,3.0,4.666666666666667,Welterweight,-0.932850729649274,-0.9914874983232732,-0.6166314497619096,-0.135158520847982,-0.030795817342830253,-0.07325152309723833,-0.14658112331964593,0.37244241402685047,-0.6890664183188421,2.5673607114016357,3.7417063541735405,2.4967593135725283,-0.38923775252873805,-0.3634965623240728,-0.8763663520257127,-0.7229251512422318,-1.015247128649647,-0.7089204849905327,-0.772217610412866,-0.5396861654675973,-1.2824894471244892,-1.0519677254057795,0.4086346803221098,0.5037804412061434,BJJ,177.8,170.18,26.59,,
