fight_url,event_name,event_date,event_location,fighter,opponent,won,weight_class,title_bout,method,finish_round,finish_time,time_format,referee,kd,sig_str_landed,sig_str_att,sig_str_pct,total_str_landed,total_str_att,td_landed,td_att,td_pct,sub_att,reversals,ctrl_seconds,head_landed,head_att,body_landed,body_att,leg_landed,leg_att,distance_landed,distance_att,clinch_landed,clinch_att,ground_landed,ground_att,historical_odds,historical_odds_opp,expected_value,dec_odds,dec_odds_opp,sub_odds,sub_odds_opp,ko_odds,ko_odds_opp,height_cms,reach_cms,weight_lbs,stance,age,wins,losses,draws,current_win_streak,current_lose_streak,longest_win_streak,wins_by_ko,wins_by_sub,wins_by_dec_unanimous,wins_by_dec_split,wins_by_dec_majority,wins_by_tko_doctor,total_rounds_fought,total_title_bouts,number_of_rounds,empty_arena,finish_details,total_fight_time_secs,height_dif,reach_dif,age_dif,win_dif,loss_dif,win_streak_dif,lose_streak_dif,longest_win_streak_dif,ko_dif,sub_dif,total_round_dif,total_title_bout_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,fighter_rank_wc,fighter_rank_pfp,diff_rank_wc,diff_rank_pfp,fighter_url,judge_scores,scorecard_margin,implied_prob,implied_prob_source,implied_prob_ko,implied_prob_sub,implied_prob_dec
http://www.ufcstats.com/fight-details/989760fa75321d69,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Conor McGregor,Max Holloway,0,Welterweight,0,,1,1:09,5 Rnd (5-5-5-5-5),Mike Beltran,0.0,0,6,0.0,5,11,0,0,,0.0,0.0,0,0,6,0,0,0,0,0,5,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/930317fde9dbc55e,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Kai Kamaka III,Luke Riley,0,Featherweight,0,,1,3:03,3 Rnd (5-5-5),Kerry Hatley,0.0,23,41,0.56,23,41,0,0,,0.0,0.0,0,9,23,4,5,10,13,23,41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/989760fa75321d69,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Max Holloway,Conor McGregor,1,Welterweight,0,,1,1:09,5 Rnd (5-5-5-5-5),Mike Beltran,0.0,12,19,0.63,14,22,0,0,,0.0,0.0,37,8,15,0,0,4,4,5,6,0,0,7,13,-213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
http://www.ufcstats.com/fight-details/1b6a3b0d27654d3e,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Cody Durden,Alessandro Costa,0,Flyweight,0,,2,2:19,3 Rnd (5-5-5),Jason Herzog,0.0,17,53,0.32,19,55,0,2,0.0,0.0,0.0,12,12,48,2,2,3,3,16,51,1,2,0,0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/1b6a3b0d27654d3e,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Alessandro Costa,Cody Durden,1,Flyweight,0,,2,2:19,3 Rnd (5-5-5),Jason Herzog,0.0,16,37,0.43,16,37,0,0,,0.0,0.0,0,11,28,4,6,1,3,16,36,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,
http://www.ufcstats.com/fight-details/1162a74e3604c488,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Zach Reese,Ryan Gandra,0,Middleweight,0,,1,1:15,3 Rnd (5-5-5),Mike Beltran,0.0,5,10,0.5,5,10,0,0,,0.0,0.0,0,3,8,1,1,1,1,5,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/1162a74e3604c488,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Ryan Gandra,Zach Reese,1,Middleweight,0,,1,1:15,3 Rnd (5-5-5),Mike Beltran,1.0,10,20,0.5,10,20,0,0,,0.0,0.0,5,8,16,2,4,0,0,5,13,0,0,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/9e00ee7644774e18,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",John Garza,Farid Basharat,0,Bantamweight,0,,3,5:00,3 Rnd (5-5-5),Marc Goddard,0.0,15,47,0.31,20,52,0,0,,0.0,1.0,7,8,37,7,8,0,2,14,45,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/b223b10ef19f912c,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Cesar Almeida,Damian Pinas,0,Middleweight,0,,1,4:44,3 Rnd (5-5-5),Chris Tognoni,0.0,37,50,0.74,39,52,1,1,1.0,0.0,0.0,33,8,16,15,20,14,14,37,50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/b223b10ef19f912c,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Damian Pinas,Cesar Almeida,1,Middleweight,0,,1,4:44,3 Rnd (5-5-5),Chris Tognoni,1.0,25,33,0.75,28,37,0,1,0.0,0.0,0.0,3,12,20,5,5,8,8,24,32,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/e84c3f1f9a33fa90,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Wang Cong,Tracy Cortez,1,Women's Flyweight,0,,3,5:00,3 Rnd (5-5-5),Jason Herzog,0.0,41,63,0.65,49,71,0,0,,0.0,0.0,37,21,38,4,5,16,20,37,57,4,6,0,0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,4.0,,,,,,,,,
http://www.ufcstats.com/fight-details/e84c3f1f9a33fa90,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Tracy Cortez,Wang Cong,0,Women's Flyweight,0,,3,5:00,3 Rnd (5-5-5),Jason Herzog,0.0,21,44,0.47,21,44,1,4,0.25,0.0,0.0,13,14,35,4,6,3,3,18,40,3,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,-4.0,,,,,,,,,
http://www.ufcstats.com/fight-details/9e00ee7644774e18,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Farid Basharat,John Garza,1,Bantamweight,0,,3,5:00,3 Rnd (5-5-5),Marc Goddard,0.0,23,35,0.65,24,36,2,4,0.5,0.0,0.0,96,16,26,2,3,5,6,21,32,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,
http://www.ufcstats.com/fight-details/930317fde9dbc55e,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Luke Riley,Kai Kamaka III,1,Featherweight,0,,1,3:03,3 Rnd (5-5-5),Kerry Hatley,1.0,43,67,0.64,43,67,0,0,,0.0,0.0,2,30,53,9,10,4,4,35,58,6,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/a26ea74f2e908842,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",King Green,Terrance McKinney,1,Lightweight,0,,1,4:59,3 Rnd (5-5-5),Kerry Hatley,1.0,43,72,0.59,57,86,0,0,,0.0,0.0,3,18,43,20,24,5,5,35,59,0,2,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/e9f389ba3a1e33c4,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Adrian Yanez,Cody Garbrandt,1,Bantamweight,0,,1,2:47,3 Rnd (5-5-5),Herb Dean,1.0,16,30,0.53,16,30,0,0,,0.0,0.0,0,13,27,2,2,1,1,12,25,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/130b325610c54a64,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Paddy Pimblett,Benoit Saint Denis,1,Lightweight,0,,1,0:52,3 Rnd (5-5-5),Marc Goddard,0.0,4,5,0.8,4,5,0,0,,1.0,0.0,37,2,3,0,0,2,2,4,5,0,0,0,0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,
http://www.ufcstats.com/fight-details/a3ab1979192b647c,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Brandon Royval,Lone'er Kavanagh,1,Flyweight,0,,3,3:40,3 Rnd (5-5-5),Jason Herzog,0.0,32,59,0.54,49,76,1,2,0.5,0.0,0.0,75,27,54,3,3,2,2,20,45,4,4,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,-2.0,,,,,,,,,
http://www.ufcstats.com/fight-details/a3ab1979192b647c,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Lone'er Kavanagh,Brandon Royval,0,Flyweight,0,,3,3:40,3 Rnd (5-5-5),Jason Herzog,0.0,19,34,0.55,19,34,1,1,1.0,0.0,0.0,16,7,18,6,7,6,9,17,30,1,1,1,3,-194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,2.0,,,,,,,,,
http://www.ufcstats.com/fight-details/130b325610c54a64,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Benoit Saint Denis,Paddy Pimblett,0,Lightweight,0,,1,0:52,3 Rnd (5-5-5),Marc Goddard,0.0,1,3,0.33,1,3,0,1,0.0,0.0,0.0,4,1,3,0,0,0,0,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,-1.0,,,,,,,,,
http://www.ufcstats.com/fight-details/a26ea74f2e908842,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Terrance McKinney,King Green,0,Lightweight,0,,1,4:59,3 Rnd (5-5-5),Kerry Hatley,0.0,45,80,0.56,59,96,1,1,1.0,0.0,0.0,132,40,75,5,5,0,0,25,58,2,3,18,19,-117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/7765e5e779dd7dc9,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Nikita Krylov,Robert Whittaker,0,Light Heavyweight,0,,3,1:01,3 Rnd (5-5-5),Chris Tognoni,0.0,20,40,0.5,26,47,3,5,0.6,0.0,0.0,130,10,28,7,8,3,4,17,36,3,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,2.0,,,,,,,,,
http://www.ufcstats.com/fight-details/7765e5e779dd7dc9,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Robert Whittaker,Nikita Krylov,1,Light Heavyweight,0,,3,1:01,3 Rnd (5-5-5),Chris Tognoni,0.0,20,38,0.52,21,39,0,0,,0.0,0.0,0,20,38,0,0,0,0,17,32,3,6,0,0,-127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,-2.0,,,,,,,,,
http://www.ufcstats.com/fight-details/e9f389ba3a1e33c4,UFC 329: McGregor vs. Holloway 2,2026-07-11,"Las Vegas, Nevada, USA",Cody Garbrandt,Adrian Yanez,0,Bantamweight,0,,1,2:47,3 Rnd (5-5-5),Herb Dean,0.0,13,32,0.4,13,32,0,1,0.0,0.0,0.0,0,10,29,2,2,1,1,12,29,1,3,0,0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ufcstats.com/fight-details/0e60ab32f3d03929,UFC Fight Night: Fiziev vs. Torres,2026-06-27,"Baku, Azerbaijan",Daniil Donchenko,Theodor Berggren,1,Welterweight,0,,2,1:35,3 Rnd (5-5-5),Herb Dean,0.0,57,82,0.69,58,83,0,0,,0.0,0.0,20,9,28,25,30,23,24,51,74,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
