event_name,event_date,result_date,fighter_a,fighter_b,fighter,matchup,prop_type,prop_label,model_prob,market_implied_prob,market_edge,bet_size,won,total_return,net,profit_multiplier
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,2026-03-15,Josh Emmett,Kevin Vallejos,Kevin Vallejos,Josh Emmett vs Kevin Vallejos,fighter_b_dec,Kevin Vallejos wins by Decision,0.4515,0.3125,0.139,1.55,0.0,0.0,-1.55,0.0
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,2026-03-15,Andre Fili,Jose Delgado,Jose Delgado,Andre Fili vs Jose Delgado,fighter_b_dec,Jose Delgado wins by Decision,0.4034,0.2083,0.1951,1.62,1.0,7.7772,6.1572,4.8007
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,2026-03-15,Andre Fili,Jose Delgado,Andre Fili,Andre Fili vs Jose Delgado,fight_goes_distance,Fight Goes to Decision,0.5387,0.3279,0.2108,1.58,1.0,4.8185,3.2385,3.0497
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,2026-03-15,Ion Cutelaba,Oumar Sy,Oumar Sy,Ion Cutelaba vs Oumar Sy,fighter_b_ko,Oumar Sy wins by KO/TKO,0.3236,0.2,0.1236,1.64,0.0,0.0,-1.64,0.0
UFC Fight Night: Evloev vs. Murphy,2026-03-21,2026-03-22,Movsar Evloev,Lerone Murphy,Movsar Evloev,Movsar Evloev vs Lerone Murphy,fight_inside_distance,Fight Ends Inside Distance,0.4949,0.3401,0.1548,1.56,0.0,0.0,-1.56,0.0
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,2026-03-29,Israel Adesanya,Joe Pyfer,Joe Pyfer,Israel Adesanya vs Joe Pyfer,fighter_b_dec,Joe Pyfer wins by Decision,0.289,0.1,0.189,1.73,0.0,0.0,-1.73,0.0
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,2026-03-29,Terrance McKinney,Kyle Nelson,Terrance McKinney,Terrance McKinney vs Kyle Nelson,fighter_a_dec,Terrance McKinney wins by Decision,0.2485,0.0667,0.1818,1.75,0.0,0.0,-1.75,0.0
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,2026-03-29,Terrance McKinney,Kyle Nelson,Terrance McKinney,Terrance McKinney vs Kyle Nelson,fight_goes_distance,Fight Goes to Decision,0.4708,0.1667,0.3041,1.6,0.0,0.0,-1.6,0.0
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,2026-03-29,Alexia Thainara,Bruna Brasil,Alexia Thainara,Alexia Thainara vs Bruna Brasil,fighter_a_ko,Alexia Thainara wins by KO/TKO,0.2682,0.1111,0.1571,1.71,0.0,0.0,-1.71,0.0
UFC Fight Night: Moicano vs. Duncan,2026-04-04,2026-04-05,Renato Moicano,Chris Duncan,Renato Moicano,Renato Moicano vs Chris Duncan,fighter_a_dec,Renato Moicano wins by Decision,0.2031,0.0952,0.1079,1.68,0.0,0.0,-1.68,0.0
UFC Fight Night: Moicano vs. Duncan,2026-04-04,2026-04-05,Renato Moicano,Chris Duncan,Renato Moicano,Renato Moicano vs Chris Duncan,fight_goes_distance,Fight Goes to Decision,0.4647,0.2439,0.2208,1.58,0.0,0.0,-1.58,0.0
UFC Fight Night: Moicano vs. Duncan,2026-04-04,2026-04-05,Virna Jandiroba,Tabatha Ricci,Virna Jandiroba,Virna Jandiroba vs Tabatha Ricci,fighter_a_ko,Virna Jandiroba wins by KO/TKO,0.1525,0.0294,0.1231,1.73,0.0,0.0,-1.73,0.0
UFC Fight Night: Moicano vs. Duncan,2026-04-04,2026-04-05,Azamat Bekoev,Tresean Gore,Tresean Gore,Azamat Bekoev vs Tresean Gore,fighter_b_ko,Tresean Gore wins by KO/TKO,0.1684,0.0625,0.1059,1.7,0.0,0.0,-1.7,0.0
UFC 327: Prochazka vs. Ulberg,2026-04-11,2026-04-12,Mateusz Gamrot,Esteban Ribovics,Mateusz Gamrot,Mateusz Gamrot vs Esteban Ribovics,fighter_a_ko,Mateusz Gamrot wins by KO/TKO,0.2141,0.0952,0.1189,1.7,0.0,0.0,-1.7,0.0
UFC 327: Prochazka vs. Ulberg,2026-04-11,2026-04-12,Tatiana Suarez,Loopy Godinez,Tatiana Suarez,Tatiana Suarez vs Loopy Godinez,fight_inside_distance,Fight Ends Inside Distance,0.5318,0.2667,0.2651,1.59,1.0,5.9618,4.3718,3.7496
UFC 327: Prochazka vs. Ulberg,2026-04-11,2026-04-12,Charles Radtke,Francisco Prado,Francisco Prado,Charles Radtke vs Francisco Prado,fighter_b_dec,Francisco Prado wins by Decision,0.2566,0.1053,0.1513,1.71,0.0,0.0,-1.71,0.0
UFC Fight Night: Burns vs. Malott,2026-04-18,2026-04-19,Gilbert Burns,Mike Malott,Mike Malott,Gilbert Burns vs Mike Malott,fighter_b_dec,Mike Malott wins by Decision,0.3432,0.1538,0.1894,1.68,0.0,0.0,-1.68,0.0
UFC Fight Night: Burns vs. Malott,2026-04-18,2026-04-19,JJ Aldrich,Jamey-Lyn Horth,JJ Aldrich,JJ Aldrich vs Jamey-Lyn Horth,fighter_a_ko,JJ Aldrich wins by KO/TKO,0.2316,0.0625,0.1691,1.75,0.0,0.0,-1.75,0.0
UFC Fight Night: Burns vs. Malott,2026-04-18,2026-04-19,JJ Aldrich,Jamey-Lyn Horth,JJ Aldrich,JJ Aldrich vs Jamey-Lyn Horth,fight_inside_distance,Fight Ends Inside Distance,0.5316,0.2326,0.299,1.6,0.0,0.0,-1.6,0.0
UFC Fight Night: Sterling vs. Zalal,2026-04-25,2026-04-26,Marcus Buchecha,Ryan Spann,Ryan Spann,Marcus Buchecha vs Ryan Spann,fighter_b_dec,Ryan Spann wins by Decision,0.2389,0.0833,0.1556,1.73,0.0,0.0,-1.73,0.0
UFC Fight Night: Sterling vs. Zalal,2026-04-25,2026-04-26,Jackson McVey,Sedriques Dumas,Jackson McVey,Jackson McVey vs Sedriques Dumas,fighter_a_dec,Jackson McVey wins by Decision,0.2671,0.1111,0.156,1.71,0.0,0.0,-1.71,0.0
UFC Fight Night: Sterling vs. Zalal,2026-04-25,2026-04-26,Jafel Filho,Cody Durden,Cody Durden,Jafel Filho vs Cody Durden,fighter_b_dec,Cody Durden wins by Decision,0.2486,0.0769,0.1717,1.74,1.0,22.6268,20.8868,13.0039
UFC Fight Night: Sterling vs. Zalal,2026-04-25,2026-04-26,Jafel Filho,Cody Durden,Jafel Filho,Jafel Filho vs Cody Durden,fight_goes_distance,Fight Goes to Decision,0.5484,0.2439,0.3045,1.61,1.0,6.6011,4.9911,4.1001
