matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Jiri Prochazka_vs_Carlos Ulberg,Jiri Prochazka,Jiri Prochazka,Carlos Ulberg,Light Heavyweight,Striker,Striker,False,0.522,-104.0,-104.0,0.5049,0.5001,-0.0048,0.0,0.4786,0.1103,0.4112,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
Carlos Ulberg_vs_Jiri Prochazka,Carlos Ulberg,Carlos Ulberg,Jiri Prochazka,Light Heavyweight,Striker,Striker,False,0.522,,,0.4951,0.4999,0.0048,0.0,0.4786,0.1103,0.4112,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,0.0,0.0,0.0,0.0,2026-04-12
Azamat Murzakanov_vs_Paulo Costa,Azamat Murzakanov,Azamat Murzakanov,Paulo Costa,Light Heavyweight,Striker,Striker,False,0.522,,,0.5772,0.5641,-0.0131,0.0,0.4786,0.1103,0.4112,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
Paulo Costa_vs_Azamat Murzakanov,Paulo Costa,Paulo Costa,Azamat Murzakanov,Light Heavyweight,Striker,Striker,False,0.522,173.0,173.0,0.4228,0.4359,0.0131,0.0,0.4786,0.1103,0.4112,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,0.0,0.0,0.0,0.0,2026-04-12
Curtis Blaydes_vs_Josh Hokit,Curtis Blaydes,Curtis Blaydes,Josh Hokit,Heavyweight,Wrestler,Wrestler,False,0.522,,,0.5157,0.5033,-0.0124,0.0,0.472,0.109,0.419,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
Josh Hokit_vs_Curtis Blaydes,Josh Hokit,Josh Hokit,Curtis Blaydes,Heavyweight,Mixed,BJJ,False,0.522,113.0,113.0,0.4843,0.4967,0.0124,0.0,0.472,0.109,0.419,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,0.0,0.0,0.0,0.0,2026-04-12
Dominick Reyes_vs_Johnny Walker,Dominick Reyes,Dominick Reyes,Johnny Walker,Light Heavyweight,Striker,BJJ,False,0.522,,,0.5316,0.4746,-0.057,0.0,0.4733,0.1237,0.403,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,0.0,0.0,0.0,0.0,2026-04-12
Johnny Walker_vs_Dominick Reyes,Johnny Walker,Johnny Walker,Dominick Reyes,Light Heavyweight,Mixed,BJJ,False,0.522,127.0,127.0,0.4684,0.5254,0.057,2.57,0.4733,0.1237,0.403,UFC 327: Prochazka vs. Ulberg,2026-04-11,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,-2.57,0.0,2026-04-12
Cub Swanson_vs_Nate Landwehr,Cub Swanson,Cub Swanson,Nate Landwehr,Featherweight,Striker,Striker,False,0.522,,,0.505,0.5127,0.0078,0.0,0.294,0.1006,0.6054,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,0.0,0.0,0.0,0.0,2026-04-12
Nate Landwehr_vs_Cub Swanson,Nate Landwehr,Nate Landwehr,Cub Swanson,Featherweight,Striker,Striker,False,0.522,104.0,104.0,0.495,0.4873,-0.0078,0.0,0.294,0.1006,0.6054,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
Kevin Holland_vs_Randy Brown,Kevin Holland,Kevin Holland,Randy Brown,Welterweight,Striker,BJJ,False,0.522,,,0.4906,0.5124,0.0219,0.0,0.3118,0.1641,0.5242,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,0.0,0.0,0.0,0.0,2026-04-12
Randy Brown_vs_Kevin Holland,Randy Brown,Randy Brown,Kevin Holland,Welterweight,BJJ,Wrestler,False,0.522,-108.0,-108.0,0.5094,0.4876,-0.0219,0.0,0.3118,0.1641,0.5242,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
Mateusz Gamrot_vs_Esteban Ribovics,Mateusz Gamrot,Mateusz Gamrot,Esteban Ribovics,Lightweight,Wrestler,Striker,False,0.522,-186.0,-186.0,0.5653,0.6137,0.0483,2.5,0.3489,0.1256,0.5255,UFC 327: Prochazka vs. Ulberg,2026-04-11,https://gambly.com/gambly-bot?auto=1&prompt=mateusz+gamrot+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,1.3441,3.8441,1.3441,1.5376,2026-04-12
Esteban Ribovics_vs_Mateusz Gamrot,Esteban Ribovics,Esteban Ribovics,Mateusz Gamrot,Lightweight,Striker,BJJ,False,0.522,,,0.4347,0.3863,-0.0483,0.0,0.3489,0.1256,0.5255,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
Tatiana Suarez_vs_Loopy Godinez,Tatiana Suarez,Tatiana Suarez,Loopy Godinez,Women's Strawweight,BJJ,Wrestler,False,0.522,-150.0,-150.0,0.5455,0.5017,-0.0438,0.0,0.2701,0.2617,0.4682,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,0.0,0.0,0.0,0.0,2026-04-12
Loopy Godinez_vs_Tatiana Suarez,Loopy Godinez,Loopy Godinez,Tatiana Suarez,Women's Strawweight,BJJ,Wrestler,False,0.522,,,0.4545,0.4983,0.0438,0.0,0.2701,0.2617,0.4682,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
Chris Padilla_vs_MarQuel Mederos,Chris Padilla,Chris Padilla,MarQuel Mederos,Lightweight,BJJ,Wrestler,False,0.522,,,0.5434,0.5141,-0.0292,0.0,0.3066,0.1979,0.4954,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
MarQuel Mederos_vs_Chris Padilla,MarQuel Mederos,MarQuel Mederos,Chris Padilla,Lightweight,Mixed,BJJ,False,0.522,138.0,138.0,0.4566,0.4859,0.0292,0.0,0.3066,0.1979,0.4954,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
Kelvin Gastelum_vs_Vicente Luque,Kelvin Gastelum,Kelvin Gastelum,Vicente Luque,Middleweight,Striker,Striker,False,0.522,,,0.6132,0.5759,-0.0372,0.0,0.4084,0.1091,0.4826,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,0.0,0.0,2026-04-12
Vicente Luque_vs_Kelvin Gastelum,Vicente Luque,Vicente Luque,Kelvin Gastelum,Middleweight,Striker,Striker,False,0.522,217.0,217.0,0.3868,0.4241,0.0372,0.0,0.4084,0.1091,0.4826,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,0.0,0.0,0.0,0.0,2026-04-12
Charles Radtke_vs_Francisco Prado,Charles Radtke,Charles Radtke,Francisco Prado,Welterweight,Mixed,BJJ,False,0.522,,,0.5614,0.4671,-0.0943,0.0,0.3537,0.1648,0.4815,UFC 327: Prochazka vs. Ulberg,2026-04-11,,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,1,0.0,0.0,0.0,0.0,2026-04-12
Francisco Prado_vs_Charles Radtke,Francisco Prado,Francisco Prado,Charles Radtke,Welterweight,Striker,BJJ,False,0.522,156.0,156.0,0.4386,0.5329,0.0943,2.6,0.3537,0.1648,0.4815,UFC 327: Prochazka vs. Ulberg,2026-04-11,https://gambly.com/gambly-bot?auto=1&prompt=francisco+prado+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline+and+mateusz+gamrot+moneyline+and+francisco+prado+moneyline,1.55,794,0,0.0,0.0,-2.6,0.0,2026-04-12
