matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Islam Makhachev_vs_Ian Machado Garry,Islam Makhachev,Islam Makhachev,Ian Machado Garry,Welterweight,BJJ,Wrestler,False,0.5163,-317.0,-317.0,0.6032,0.4668,-0.1364,0.0,0.3198,0.158,0.5222,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-16
Ian Machado Garry_vs_Islam Makhachev,Ian Machado Garry,Ian Machado Garry,Islam Makhachev,Welterweight,Striker,BJJ,False,0.5163,,,0.3968,0.5332,0.1364,0.0,0.3198,0.158,0.5222,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-16
Mackenzie Dern_vs_Gillian Robertson,Mackenzie Dern,Mackenzie Dern,Gillian Robertson,Women's Strawweight,BJJ,Wrestler,False,0.5163,-186.0,-186.0,0.5653,0.4646,-0.1007,0.0,0.2674,0.2595,0.4731,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-16
Gillian Robertson_vs_Mackenzie Dern,Gillian Robertson,Gillian Robertson,Mackenzie Dern,Women's Strawweight,BJJ,Wrestler,False,0.5163,,,0.4347,0.5354,0.1007,0.0,0.2674,0.2595,0.4731,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-16
Jalin Turner_vs_Kaue Fernandes,Jalin Turner,Jalin Turner,Kaue Fernandes,Lightweight,Striker,Striker,False,0.5163,,,0.5261,0.488,-0.038,0.0,0.3434,0.1055,0.5511,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-16
Kaue Fernandes_vs_Jalin Turner,Kaue Fernandes,Kaue Fernandes,Jalin Turner,Lightweight,Striker,Striker,False,0.5163,122.0,122.0,0.4739,0.512,0.038,0.0,0.3434,0.1055,0.5511,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-16
Mansur Abdul-Malik_vs_Dustin Stoltzfus,Mansur Abdul-Malik,Mansur Abdul-Malik,Dustin Stoltzfus,Middleweight,Mixed,BJJ,False,0.5163,-614.0,-614.0,0.6323,0.558,-0.0743,0.0,0.3456,0.2308,0.4237,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-16
Dustin Stoltzfus_vs_Mansur Abdul-Malik,Dustin Stoltzfus,Dustin Stoltzfus,Mansur Abdul-Malik,Middleweight,BJJ,Wrestler,False,0.5163,,,0.3677,0.442,0.0743,0.0,0.3456,0.2308,0.4237,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-16
Edson Barboza_vs_Esteban Ribovics,Edson Barboza,Edson Barboza,Esteban Ribovics,Lightweight,Striker,Striker,False,0.5163,,,0.3703,0.3803,0.01,0.0,0.3434,0.1055,0.5511,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-16
Esteban Ribovics_vs_Edson Barboza,Esteban Ribovics,Esteban Ribovics,Edson Barboza,Lightweight,Striker,Striker,False,0.5163,-567.0,-567.0,0.6297,0.6197,-0.01,0.0,0.3434,0.1055,0.5511,UFC 330: Makhachev vs. Machado Garry,2026-08-15,,https://gambly.com/gambly-bot?auto=1&prompt=eric+mcconico+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-16
