matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Gilbert Burns_vs_Mike Malott,Gilbert Burns,Gilbert Burns,Mike Malott,Welterweight,BJJ,Wrestler,False,0.519,,,0.4049,0.2649,-0.1401,0.0,0.3186,0.2146,0.4668,UFC Fight Night: Burns vs. Malott,2026-04-18,,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,0,0.0,0.0,0.0,0.0,2026-04-19
Mike Malott_vs_Gilbert Burns,Mike Malott,Mike Malott,Gilbert Burns,Welterweight,Sniper,BJJ,False,0.519,-277.0,-277.0,0.5951,0.7351,0.1401,2.5,0.3186,0.2146,0.4668,UFC Fight Night: Burns vs. Malott,2026-04-18,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,1,0.9025,3.4025,0.9025,1.361,2026-04-19
Kyler Phillips_vs_Charles Jourdain,Kyler Phillips,Kyler Phillips,Charles Jourdain,Bantamweight,Wrestler,Striker,False,0.519,127.0,127.0,0.4684,0.5109,0.0426,2.56,0.2609,0.1356,0.6035,UFC Fight Night: Burns vs. Malott,2026-04-18,https://gambly.com/gambly-bot?auto=1&prompt=kyler+phillips+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,0,0.0,0.0,-2.56,0.0,2026-04-19
Charles Jourdain_vs_Kyler Phillips,Charles Jourdain,Charles Jourdain,Kyler Phillips,Bantamweight,Striker,BJJ,False,0.519,,,0.5316,0.4891,-0.0426,0.0,0.2609,0.1356,0.6035,UFC Fight Night: Burns vs. Malott,2026-04-18,,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,1,0.0,0.0,0.0,0.0,2026-04-19
Jasmine Jasudavicius_vs_Karine Silva,Jasmine Jasudavicius,Jasmine Jasudavicius,Karine Silva,Women's Flyweight,Wrestler,BJJ,False,0.519,,,0.6377,0.6244,-0.0133,0.0,0.2985,0.2232,0.4783,UFC Fight Night: Burns vs. Malott,2026-04-18,,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,1,0.0,0.0,0.0,0.0,2026-04-19
Karine Silva_vs_Jasmine Jasudavicius,Karine Silva,Karine Silva,Jasmine Jasudavicius,Women's Flyweight,BJJ,Wrestler,False,0.519,252.0,252.0,0.3623,0.3756,0.0133,0.0,0.2985,0.2232,0.4783,UFC Fight Night: Burns vs. Malott,2026-04-18,,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,0,0.0,0.0,0.0,0.0,2026-04-19
Thiago Moises_vs_Gauge Young,Thiago Moises,Thiago Moises,Gauge Young,Lightweight,BJJ,Wrestler,False,0.519,133.0,133.0,0.4619,0.4766,0.0147,0.0,0.3141,0.2039,0.482,UFC Fight Night: Burns vs. Malott,2026-04-18,,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,0,0.0,0.0,0.0,0.0,2026-04-19
Gauge Young_vs_Thiago Moises,Gauge Young,Gauge Young,Thiago Moises,Lightweight,Mixed,BJJ,False,0.519,,,0.5381,0.5234,-0.0147,0.0,0.3141,0.2039,0.482,UFC Fight Night: Burns vs. Malott,2026-04-18,,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,1,0.0,0.0,0.0,0.0,2026-04-19
Melissa Croden_vs_Daria Zhelezniakova,Melissa Croden,Melissa Croden,Daria Zhelezniakova,Women's Bantamweight,Mixed,BJJ,False,0.519,-133.0,-133.0,0.5331,0.453,-0.0801,0.0,0.3427,0.1794,0.4778,UFC Fight Night: Burns vs. Malott,2026-04-18,,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,1,0.0,0.0,0.0,0.0,2026-04-19
Daria Zhelezniakova_vs_Melissa Croden,Daria Zhelezniakova,Daria Zhelezniakova,Melissa Croden,Women's Bantamweight,Mixed,BJJ,False,0.519,,,0.4669,0.547,0.0801,0.0,0.3427,0.1794,0.4778,UFC Fight Night: Burns vs. Malott,2026-04-18,,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,0,0.0,0.0,0.0,0.0,2026-04-19
JJ Aldrich_vs_Jamey-Lyn Horth,JJ Aldrich,JJ Aldrich,Jamey-Lyn Horth,Women's Flyweight,Wrestler,Wrestler,False,0.519,138.0,138.0,0.4566,0.5821,0.1255,2.7,0.3978,0.1338,0.4684,UFC Fight Night: Burns vs. Malott,2026-04-18,https://gambly.com/gambly-bot?auto=1&prompt=jj+aldrich+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,1,3.726,6.426,3.726,2.38,2026-04-19
Jamey-Lyn Horth_vs_JJ Aldrich,Jamey-Lyn Horth,Jamey-Lyn Horth,JJ Aldrich,Women's Flyweight,Muay_Thai,BJJ,False,0.519,,,0.5434,0.4179,-0.1255,0.0,0.3978,0.1338,0.4684,UFC Fight Night: Burns vs. Malott,2026-04-18,,https://gambly.com/gambly-bot?auto=1&prompt=mike+malott+moneyline+and+kyler+phillips+moneyline+and+jj+aldrich+moneyline,1.56,635,0,0.0,0.0,0.0,0.0,2026-04-19
