matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Dricus Du Plessis_vs_Kamaru Usman,Dricus Du Plessis,Dricus Du Plessis,Kamaru Usman,Middleweight,BJJ,Wrestler,False,0.5187,,,0.6024,0.557,-0.0454,0.0,0.3467,0.1991,0.4542,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,1,0.0,0.0,0.0,0.0,2026-07-19
Kamaru Usman_vs_Dricus Du Plessis,Kamaru Usman,Kamaru Usman,Dricus Du Plessis,Middleweight,Wrestler,BJJ,False,0.5187,203.0,203.0,0.3976,0.443,0.0454,2.58,0.3467,0.1991,0.4542,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,0,0.0,0.0,-2.58,0.0,2026-07-19
Jared Cannonier_vs_Christian Leroy Duncan,Jared Cannonier,Jared Cannonier,Christian Leroy Duncan,Middleweight,Striker,BJJ,False,0.5187,317.0,317.0,0.3241,0.4282,0.1041,2.66,0.3856,0.1693,0.4451,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,https://gambly.com/gambly-bot?auto=1&prompt=jared+cannonier+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,0,0.0,0.0,-2.66,0.0,2026-07-19
Christian Leroy Duncan_vs_Jared Cannonier,Christian Leroy Duncan,Christian Leroy Duncan,Jared Cannonier,Middleweight,Sniper,BJJ,False,0.5187,,,0.6759,0.5718,-0.1041,0.0,0.3856,0.1693,0.4451,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,1,0.0,0.0,0.0,0.0,2026-07-19
Chase Hooper_vs_Mitch Ramirez,Chase Hooper,Chase Hooper,Mitch Ramirez,Lightweight,BJJ,Wrestler,False,0.5187,,,0.6759,0.6255,-0.0503,0.0,0.3035,0.2049,0.4916,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,1,0.0,0.0,0.0,0.0,2026-07-19
Mitch Ramirez_vs_Chase Hooper,Mitch Ramirez,Mitch Ramirez,Chase Hooper,Lightweight,Mixed,BJJ,False,0.5187,317.0,317.0,0.3241,0.3745,0.0503,2.69,0.3035,0.2049,0.4916,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,https://gambly.com/gambly-bot?auto=1&prompt=mitch+ramirez+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,0,0.0,0.0,-2.69,0.0,2026-07-19
Tabatha Ricci_vs_Fatima Kline,Tabatha Ricci,Tabatha Ricci,Fatima Kline,Women's Strawweight,Wrestler,Wrestler,False,0.5187,376.0,376.0,0.2959,0.4623,0.1664,2.64,0.3417,0.1666,0.4916,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,https://gambly.com/gambly-bot?auto=1&prompt=tabatha+ricci+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,0,0.0,0.0,-2.64,0.0,2026-07-19
Fatima Kline_vs_Tabatha Ricci,Fatima Kline,Fatima Kline,Tabatha Ricci,Women's Strawweight,Mixed,BJJ,False,0.5187,,,0.7041,0.5377,-0.1664,0.0,0.3417,0.1666,0.4916,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,1,0.0,0.0,0.0,0.0,2026-07-19
Austin Bashi_vs_Jose Delgado,Austin Bashi,Austin Bashi,Jose Delgado,Featherweight,Mixed,BJJ,False,0.5187,,,0.5,0.5725,0.0725,0.0,0.2845,0.1336,0.5819,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,0,0.0,0.0,0.0,0.0,2026-07-19
Jose Delgado_vs_Austin Bashi,Jose Delgado,Jose Delgado,Austin Bashi,Featherweight,Striker,BJJ,False,0.5187,-100.0,-100.0,0.5,0.4275,-0.0725,0.0,0.2845,0.1336,0.5819,UFC Fight Night: Du Plessis vs. Usman,2026-07-18,,https://gambly.com/gambly-bot?auto=1&prompt=kamaru+usman+moneyline+and+jared+cannonier+moneyline+and+mitch+ramirez+moneyline+and+tabatha+ricci+moneyline+and+stewart+nicoll+moneyline,1.52,192763,1,0.0,0.0,0.0,0.0,2026-07-19
