matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Josh Emmett_vs_Kevin Vallejos,Josh Emmett,Josh Emmett,Kevin Vallejos,Featherweight,Striker,BJJ,False,0.5259,410,410.0,0.1881,0.1618,-0.0263,0.0,0.3217,0.1396,0.5387,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,0,0.0,0.0,0.0,0.0,2026-03-15
Kevin Vallejos_vs_Josh Emmett,Kevin Vallejos,Kevin Vallejos,Josh Emmett,Featherweight,Mixed,BJJ,False,0.5259,-550,-550.0,0.8119,0.8382,0.0263,0.0,0.3217,0.1396,0.5387,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,1,0.0,0.0,0.0,0.0,2026-03-15
Amanda Lemos_vs_Gillian Robertson,Amanda Lemos,Amanda Lemos,Gillian Robertson,Women's Strawweight,Mixed,BJJ,False,0.5259,166,166.0,0.3614,0.2534,-0.108,0.0,0.2993,0.2028,0.4979,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,0,0.0,0.0,0.0,0.0,2026-03-15
Gillian Robertson_vs_Amanda Lemos,Gillian Robertson,Gillian Robertson,Amanda Lemos,Women's Strawweight,BJJ,Wrestler,False,0.5259,-198,-198.0,0.6386,0.7466,0.108,3.02,0.2993,0.2028,0.4979,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,1,1.5253,4.5453,1.5253,1.5051,2026-03-15
Andre Fili_vs_Jose Delgado,Andre Fili,Andre Fili,Jose Delgado,Featherweight,Striker,BJJ,False,0.5259,310,310.0,0.2346,0.2511,0.0166,0.0,0.3217,0.1396,0.5387,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,0,0.0,0.0,0.0,0.0,2026-03-15
Jose Delgado_vs_Andre Fili,Jose Delgado,Jose Delgado,Andre Fili,Featherweight,Mixed,BJJ,False,0.5259,-390,-390.0,0.7654,0.7489,-0.0166,0.0,0.3217,0.1396,0.5387,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,1,0.0,0.0,0.0,0.0,2026-03-15
Ion Cutelaba_vs_Oumar Sy,Ion Cutelaba,Ion Cutelaba,Oumar Sy,Light Heavyweight,Wrestler,BJJ,False,0.5259,230,230.0,0.2914,0.2732,-0.0182,0.0,0.4453,0.1945,0.3603,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,1,0.0,0.0,0.0,0.0,2026-03-15
Oumar Sy_vs_Ion Cutelaba,Oumar Sy,Oumar Sy,Ion Cutelaba,Light Heavyweight,BJJ,Wrestler,False,0.5259,-280,-280.0,0.7086,0.7268,0.0182,0.0,0.4453,0.1945,0.3603,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,0,0.0,0.0,0.0,0.0,2026-03-15
Charles Johnson_vs_Bruno Silva,Charles Johnson,Charles Johnson,Bruno Silva,Flyweight,Striker,Striker,False,0.5259,-174,-174.0,0.6097,0.5604,-0.0493,0.0,0.2518,0.1311,0.6171,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,1,0.0,0.0,0.0,0.0,2026-03-15
Bruno Silva_vs_Charles Johnson,Bruno Silva,Bruno Silva,Charles Johnson,Flyweight,Muay_Thai,Striker,False,0.5259,146,146.0,0.3903,0.4396,0.0493,2.53,0.2518,0.1311,0.6171,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,https://sportsbook.draftkings.com/event/33766381?outcomes=0ML83745391_3,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3+0ML83745391_3+0ML83745395_3+0ML83746181_1+0ML83745393_3,1.52,1194,0,0.0,0.0,-2.53,0.0,2026-03-15
