matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Anthony Hernandez_vs_Gregory Rodrigues,Anthony Hernandez,Anthony Hernandez,Gregory Rodrigues,Middleweight,BJJ,Wrestler,False,0.5163,170.0,170.0,0.4828,0.5185,0.0357,0.0,0.327,0.2133,0.4598,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,0,0.0,0.0,0.0,0.0,2026-08-23
Gregory Rodrigues_vs_Anthony Hernandez,Gregory Rodrigues,Gregory Rodrigues,Anthony Hernandez,Middleweight,Wrestler,BJJ,False,0.5163,152.0,152.0,0.5172,0.4815,-0.0357,0.0,0.327,0.2133,0.4598,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,1,0.0,0.0,0.0,0.0,2026-08-23
Serghei Spivac_vs_Vitor Petrino,Serghei Spivac,Serghei Spivac,Vitor Petrino,Heavyweight,BJJ,Wrestler,False,0.5163,,,0.4552,0.4782,0.023,0.0,0.3815,0.2162,0.4023,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,0,0.0,0.0,0.0,0.0,2026-08-23
Vitor Petrino_vs_Serghei Spivac,Vitor Petrino,Vitor Petrino,Serghei Spivac,Heavyweight,BJJ,Wrestler,False,0.5163,-149.0,-149.0,0.5448,0.5218,-0.023,0.0,0.3815,0.2162,0.4023,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,1,0.0,0.0,0.0,0.0,2026-08-23
Reinier de Ridder_vs_Roman Dolidze,Reinier de Ridder,Reinier de Ridder,Roman Dolidze,Light Heavyweight,BJJ,Wrestler,False,0.5163,,,0.6825,0.5868,-0.0957,0.0,0.4482,0.1674,0.3844,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,1,0.0,0.0,0.0,0.0,2026-08-23
Roman Dolidze_vs_Reinier de Ridder,Roman Dolidze,Roman Dolidze,Reinier de Ridder,Light Heavyweight,Striker,BJJ,False,0.5163,330.0,330.0,0.3175,0.4132,0.0957,2.68,0.4482,0.1674,0.3844,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,0,0.0,0.0,-2.68,0.0,2026-08-23
MarQuel Mederos_vs_Mason Jones,MarQuel Mederos,MarQuel Mederos,Mason Jones,Lightweight,Striker,BJJ,False,0.5163,,,0.3957,0.4878,0.0921,0.0,0.298,0.1765,0.5256,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,1,0.0,0.0,0.0,0.0,2026-08-23
Mason Jones_vs_MarQuel Mederos,Mason Jones,Mason Jones,MarQuel Mederos,Lightweight,BJJ,Wrestler,False,0.5163,-323.0,-323.0,0.6043,0.5122,-0.0921,0.0,0.298,0.1765,0.5256,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,0,0.0,0.0,0.0,0.0,2026-08-23
Kennedy Nzechukwu_vs_Shamil Gaziev,Kennedy Nzechukwu,Kennedy Nzechukwu,Shamil Gaziev,Heavyweight,Striker,BJJ,False,0.5163,,,0.4638,0.4814,0.0176,0.0,0.412,0.1101,0.4778,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,0,0.0,0.0,0.0,0.0,2026-08-23
Shamil Gaziev_vs_Kennedy Nzechukwu,Shamil Gaziev,Shamil Gaziev,Kennedy Nzechukwu,Heavyweight,Wrestler,Striker,False,0.5163,-137.0,-137.0,0.5362,0.5186,-0.0176,0.0,0.412,0.1101,0.4778,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22,,https://gambly.com/gambly-bot?auto=1&prompt=roman+dolidze+moneyline+and+wes+schultz+moneyline,1.58,954,1,0.0,0.0,0.0,0.0,2026-08-23
