matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Belal Muhammad_vs_Gabriel Bonfim,Belal Muhammad,Belal Muhammad,Gabriel Bonfim,Welterweight,Wrestler,BJJ,False,0.5186,-1408.0,-1408.0,0.6557,0.8578,0.2021,2.5,0.3178,0.231,0.4512,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,-2.5,0.0,2026-06-07
Gabriel Bonfim_vs_Belal Muhammad,Gabriel Bonfim,Gabriel Bonfim,Belal Muhammad,Welterweight,BJJ,Wrestler,False,0.5186,104.0,104.0,0.3443,0.1422,-0.2021,0.0,0.3178,0.231,0.4512,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,0.0,0.0,0.0,0.0,2026-06-07
Brendan Allen_vs_Edmen Shahbazyan,Brendan Allen,Brendan Allen,Edmen Shahbazyan,Middleweight,BJJ,Wrestler,False,0.5186,,,0.5745,0.5121,-0.0623,0.0,0.3235,0.2705,0.406,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,0.0,0.0,0.0,0.0,2026-06-07
Edmen Shahbazyan_vs_Brendan Allen,Edmen Shahbazyan,Edmen Shahbazyan,Brendan Allen,Middleweight,BJJ,Wrestler,False,0.5186,170.0,170.0,0.4255,0.4879,0.0623,2.58,0.3235,0.2705,0.406,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,https://gambly.com/gambly-bot?auto=1&prompt=edmen+shahbazyan+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,-2.58,0.0,2026-06-07
Fares Ziam_vs_Tom Nolan,Fares Ziam,Fares Ziam,Tom Nolan,Lightweight,Mixed,BJJ,False,0.5186,,,0.633,0.537,-0.0961,0.0,0.3473,0.147,0.5057,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,0.0,0.0,2026-06-07
Tom Nolan_vs_Fares Ziam,Tom Nolan,Tom Nolan,Fares Ziam,Lightweight,Striker,BJJ,False,0.5186,245.0,245.0,0.367,0.463,0.0961,2.61,0.3473,0.147,0.5057,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,https://gambly.com/gambly-bot?auto=1&prompt=tom+nolan+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,6.3945,9.0045,6.3945,3.45,2026-06-07
Bryce Mitchell_vs_Santiago Luna,Bryce Mitchell,Bryce Mitchell,Santiago Luna,Bantamweight,BJJ,Wrestler,False,0.5186,,,0.5204,0.4756,-0.0448,0.0,0.2356,0.2143,0.5501,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,0.0,0.0,0.0,0.0,2026-06-07
Santiago Luna_vs_Bryce Mitchell,Santiago Luna,Santiago Luna,Bryce Mitchell,Bantamweight,Mixed,BJJ,False,0.5186,117.0,117.0,0.4796,0.5244,0.0448,2.55,0.2356,0.2143,0.5501,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,https://gambly.com/gambly-bot?auto=1&prompt=santiago+luna+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,-2.55,0.0,2026-06-07
Iwo Baraniewski_vs_Junior Tafa,Iwo Baraniewski,Iwo Baraniewski,Junior Tafa,Light Heavyweight,Mixed,Striker,False,0.5186,,,0.685,0.4668,-0.2183,0.0,0.4869,0.1652,0.3479,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,0.0,0.0,0.0,0.0,2026-06-07
Junior Tafa_vs_Iwo Baraniewski,Junior Tafa,Junior Tafa,Iwo Baraniewski,Light Heavyweight,Sniper,BJJ,False,0.5186,335.0,335.0,0.315,0.5332,0.2183,2.67,0.4869,0.1652,0.3479,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,https://gambly.com/gambly-bot?auto=1&prompt=junior+tafa+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,-2.67,0.0,2026-06-07
Matt Schnell_vs_Alessandro Costa,Matt Schnell,Matt Schnell,Alessandro Costa,Unknown,Striker,Striker,False,0.5186,376.0,376.0,0.2959,0.4425,0.1467,2.65,0.3369,0.105,0.5581,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,https://gambly.com/gambly-bot?auto=1&prompt=matt+schnell+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,-2.65,0.0,2026-06-07
Alessandro Costa_vs_Matt Schnell,Alessandro Costa,Alessandro Costa,Matt Schnell,Unknown,Striker,Striker,False,0.5186,,,0.7041,0.5575,-0.1467,0.0,0.3369,0.105,0.5581,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,0.0,0.0,0.0,0.0,2026-06-07
Marcus McGhee_vs_John Yannis,Marcus McGhee,Marcus McGhee,John Yannis,Bantamweight,Striker,BJJ,False,0.5186,-376.0,-376.0,0.6124,0.5579,-0.0545,0.0,0.2644,0.1407,0.5949,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,0.0,0.0,0.0,0.0,2026-06-07
John Yannis_vs_Marcus McGhee,John Yannis,John Yannis,Marcus McGhee,Bantamweight,Mixed,BJJ,False,0.5186,,,0.3876,0.4421,0.0545,0.0,0.2644,0.1407,0.5949,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,0.0,0.0,2026-06-07
Bruno Silva_vs_Edgar Chairez,Bruno Silva,Bruno Silva,Edgar Chairez,Flyweight,Muay_Thai,BJJ,False,0.5186,,,0.505,0.1924,-0.3125,0.0,0.269,0.1394,0.5916,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,0.0,0.0,2026-06-07
Edgar Chairez_vs_Bruno Silva,Edgar Chairez,Edgar Chairez,Bruno Silva,Flyweight,Sniper,BJJ,False,0.5186,104.0,104.0,0.495,0.8076,0.3125,3.96,0.269,0.1394,0.5916,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,https://gambly.com/gambly-bot?auto=1&prompt=edgar+chairez+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,4.1184,8.0784,4.1184,2.04,2026-06-07
Priscila Cachoeira_vs_Chelsea Chandler,Priscila Cachoeira,Priscila Cachoeira,Chelsea Chandler,Women's Bantamweight,Mixed,BJJ,False,0.5186,117.0,117.0,0.6974,0.6329,-0.0644,0.0,0.3239,0.1676,0.5085,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,0.0,0.0,2026-06-07
Chelsea Chandler_vs_Priscila Cachoeira,Chelsea Chandler,Chelsea Chandler,Priscila Cachoeira,Women's Bantamweight,Wrestler,Wrestler,False,0.5186,400.0,400.0,0.3026,0.3671,0.0644,2.74,0.3239,0.1676,0.5085,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,https://gambly.com/gambly-bot?auto=1&prompt=chelsea+chandler+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,10.96,13.7,10.96,5.0,2026-06-07
Jordan Leavitt_vs_Joanderson Brito,Jordan Leavitt,Jordan Leavitt,Joanderson Brito,Featherweight,BJJ,Wrestler,False,0.5186,163.0,163.0,0.432,0.534,0.102,2.61,0.2369,0.2513,0.5118,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,https://gambly.com/gambly-bot?auto=1&prompt=jordan+leavitt+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,-2.61,0.0,2026-06-07
Joanderson Brito_vs_Jordan Leavitt,Joanderson Brito,Joanderson Brito,Jordan Leavitt,Featherweight,BJJ,Wrestler,False,0.5186,,,0.568,0.466,-0.102,0.0,0.2369,0.2513,0.5118,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,0.0,0.0,0.0,0.0,2026-06-07
Ketlen Souza_vs_Ariane Carnelossi,Ketlen Souza,Ketlen Souza,Ariane Carnelossi,Women's Strawweight,Mixed,BJJ,False,0.5186,-285.0,-285.0,0.5969,0.5344,-0.0624,0.0,0.3473,0.147,0.5057,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,1,0.0,0.0,0.0,0.0,2026-06-07
Ariane Carnelossi_vs_Ketlen Souza,Ariane Carnelossi,Ariane Carnelossi,Ketlen Souza,Women's Strawweight,Striker,BJJ,False,0.5186,,,0.4031,0.4656,0.0624,0.0,0.3473,0.147,0.5057,UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,,https://gambly.com/gambly-bot?auto=1&prompt=belal+muhammad+moneyline+and+edmen+shahbazyan+moneyline+and+tom+nolan+moneyline+and+santiago+luna+moneyline+and+junior+tafa+moneyline+and+matt+schnell+moneyline+and+edgar+chairez+moneyline+and+chelsea+chandler+moneyline+and+jordan+leavitt+moneyline,1.5,1202423,0,0.0,0.0,0.0,0.0,2026-06-07
