matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Umar Nurmagomedov_vs_Song Yadong,Umar Nurmagomedov,Umar Nurmagomedov,Song Yadong,Bantamweight,BJJ,Wrestler,False,0.5163,-525.0,-525.0,0.6269,0.546,-0.0808,0.0,0.2523,0.1697,0.578,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-30
Song Yadong_vs_Umar Nurmagomedov,Song Yadong,Song Yadong,Umar Nurmagomedov,Bantamweight,Striker,BJJ,False,0.5163,,,0.3731,0.454,0.0808,0.0,0.2523,0.1697,0.578,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-30
Yan Xiaonan_vs_Denise Gomes,Yan Xiaonan,Yan Xiaonan,Denise Gomes,Women's Strawweight,Striker,BJJ,False,0.5163,-155.0,-155.0,0.5487,0.469,-0.0797,0.0,0.298,0.1765,0.5256,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-30
Denise Gomes_vs_Yan Xiaonan,Denise Gomes,Denise Gomes,Yan Xiaonan,Women's Strawweight,BJJ,Wrestler,False,0.5163,,,0.4513,0.531,0.0797,0.0,0.298,0.1765,0.5256,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-30
Aoriqileng_vs_Kai Asakura,Aoriqileng,Aoriqileng,Kai Asakura,Bantamweight,Mixed,BJJ,False,0.5163,,,0.3876,0.5181,0.1305,0.0,0.271,0.1906,0.5384,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-30
Kai Asakura_vs_Aoriqileng,Kai Asakura,Kai Asakura,Aoriqileng,Bantamweight,Mixed,BJJ,False,0.5163,-376.0,-376.0,0.6124,0.4819,-0.1305,0.0,0.271,0.1906,0.5384,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-30
Alex Perez_vs_Sumudaerji,Alex Perez,Alex Perez,Sumudaerji,Flyweight,BJJ,Wrestler,False,0.5163,180.0,180.0,0.3422,0.2419,-0.1003,0.0,0.1844,0.1884,0.6272,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-30
Sumudaerji_vs_Alex Perez,Sumudaerji,Sumudaerji,Alex Perez,Flyweight,Sniper,BJJ,False,0.5163,-219.0,-219.0,0.6578,0.7581,0.1003,3.01,0.1844,0.1884,0.6272,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,1,1.3744,4.3844,1.3744,1.4566,2026-08-30
Rei Tsuruya_vs_Kevin Borjas,Rei Tsuruya,Rei Tsuruya,Kevin Borjas,Flyweight,Mixed,Wrestler,False,0.5163,-721.0,-721.0,0.6372,0.5538,-0.0834,0.0,0.2735,0.1563,0.5702,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-30
Kevin Borjas_vs_Rei Tsuruya,Kevin Borjas,Kevin Borjas,Rei Tsuruya,Flyweight,Muay_Thai,BJJ,False,0.5163,,,0.3628,0.4462,0.0834,0.0,0.2735,0.1563,0.5702,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-30
Jack Jenkins_vs_Sean Woodson,Jack Jenkins,Jack Jenkins,Sean Woodson,Featherweight,Striker,Striker,False,0.5163,,,0.4552,0.4871,0.0319,0.0,0.2986,0.1004,0.601,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,0,0.0,0.0,0.0,0.0,2026-08-30
Sean Woodson_vs_Jack Jenkins,Sean Woodson,Sean Woodson,Jack Jenkins,Featherweight,Striker,Striker,False,0.5163,-149.0,-149.0,0.5448,0.5129,-0.0319,0.0,0.2986,0.1004,0.601,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,,https://gambly.com/gambly-bot?auto=1&prompt=sumudaerji+moneyline,0.0,,1,0.0,0.0,0.0,0.0,2026-08-30
