matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Aljamain Sterling_vs_Youssef Zalal,Aljamain Sterling,Aljamain Sterling,Youssef Zalal,Featherweight,BJJ,Wrestler,False,0.5191,,,0.4719,0.3671,-0.1048,0.0,0.2341,0.2457,0.5202,UFC Fight Night: Sterling vs. Zalal,2026-04-25,,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,1,0.0,0.0,0.0,0.0,2026-04-26
Youssef Zalal_vs_Aljamain Sterling,Youssef Zalal,Youssef Zalal,Aljamain Sterling,Featherweight,BJJ,Wrestler,False,0.5191,-127.0,-127.0,0.5281,0.6329,0.1048,2.69,0.2341,0.2457,0.5202,UFC Fight Night: Sterling vs. Zalal,2026-04-25,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,0,0.0,0.0,-2.69,0.0,2026-04-26
Norma Dumont_vs_Joselyne Edwards,Norma Dumont,Norma Dumont,Joselyne Edwards,Women's Bantamweight,Striker,BJJ,False,0.5191,-186.0,-186.0,0.5653,0.461,-0.1044,0.0,0.3056,0.1406,0.5538,UFC Fight Night: Sterling vs. Zalal,2026-04-25,,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,0,0.0,0.0,0.0,0.0,2026-04-26
Joselyne Edwards_vs_Norma Dumont,Joselyne Edwards,Joselyne Edwards,Norma Dumont,Women's Bantamweight,BJJ,Wrestler,False,0.5191,,,0.4347,0.539,0.1044,0.0,0.3056,0.1406,0.5538,UFC Fight Night: Sterling vs. Zalal,2026-04-25,,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,1,0.0,0.0,0.0,0.0,2026-04-26
Rafa Garcia_vs_Alexander Hernandez,Rafa Garcia,Rafa Garcia,Alexander Hernandez,Lightweight,Striker,Striker,False,0.5191,117.0,117.0,0.4796,0.557,0.0773,2.59,0.3389,0.1124,0.5487,UFC Fight Night: Sterling vs. Zalal,2026-04-25,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,1,3.0303,5.6203,3.0303,2.17,2026-04-26
Alexander Hernandez_vs_Rafa Garcia,Alexander Hernandez,Alexander Hernandez,Rafa Garcia,Lightweight,Muay_Thai,Striker,False,0.5191,,,0.5204,0.443,-0.0773,0.0,0.3389,0.1124,0.5487,UFC Fight Night: Sterling vs. Zalal,2026-04-25,,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,0,0.0,0.0,0.0,0.0,2026-04-26
Montel Jackson_vs_Raoni Barcelos,Montel Jackson,Montel Jackson,Raoni Barcelos,Bantamweight,BJJ,Wrestler,False,0.5191,,,0.568,0.5035,-0.0646,0.0,0.2165,0.2442,0.5393,UFC Fight Night: Sterling vs. Zalal,2026-04-25,,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,1,0.0,0.0,0.0,0.0,2026-04-26
Raoni Barcelos_vs_Montel Jackson,Raoni Barcelos,Raoni Barcelos,Montel Jackson,Bantamweight,Wrestler,BJJ,False,0.5191,163.0,163.0,0.432,0.4965,0.0646,2.58,0.2165,0.2442,0.5393,UFC Fight Night: Sterling vs. Zalal,2026-04-25,https://gambly.com/gambly-bot?auto=1&prompt=raoni+barcelos+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,1,4.2054,6.7854,4.2054,2.63,2026-04-26
Marcus Buchecha_vs_Ryan Spann,Marcus Buchecha,Marcus Buchecha,Ryan Spann,Heavyweight,Mixed,BJJ,False,0.5191,,,0.5316,0.4368,-0.0948,0.0,0.4258,0.1501,0.4241,UFC Fight Night: Sterling vs. Zalal,2026-04-25,,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,0,0.0,0.0,0.0,0.0,2026-04-26
Ryan Spann_vs_Marcus Buchecha,Ryan Spann,Ryan Spann,Marcus Buchecha,Heavyweight,BJJ,Wrestler,False,0.5191,127.0,127.0,0.4684,0.5632,0.0948,2.62,0.4258,0.1501,0.4241,UFC Fight Night: Sterling vs. Zalal,2026-04-25,https://gambly.com/gambly-bot?auto=1&prompt=ryan+spann+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=youssef+zalal+moneyline+and+rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+ryan+spann+moneyline+and+talita+alencar+moneyline,1.53,7310,1,3.3274,5.9474,3.3274,2.27,2026-04-26
