event_name,event_date,result_date,legs,num_legs,combined_odds,bet_size,all_won,net,total_return,leg_detail
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,2026-03-15,Gillian Robertson & Bruno Silva & Myktybek Orolbai & Elijah Smith & Eryk Anders,5,1194.0,1.52,0,-1.52,0.0,Gillian Robertson (W) | Bruno Silva (L) | Myktybek Orolbai (W) | Elijah Smith (W) | Eryk Anders (W)
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,2026-03-29,Joe Pyfer & Maycee Barber & Gabriella Fernandes & Ricky Simon,4,915.0,1.55,0,-1.55,0.0,Joe Pyfer (W) | Maycee Barber (L) | Gabriella Fernandes (L) | Ricky Simon (L)
UFC 327: Prochazka vs. Ulberg,2026-04-11,2026-04-12,Johnny Walker & Mateusz Gamrot & Francisco Prado,3,794.0,1.55,0,-1.55,0.0,Johnny Walker (L) | Mateusz Gamrot (W) | Francisco Prado (L)
UFC Fight Night: Burns vs. Malott,2026-04-18,2026-04-19,Mike Malott & Kyler Phillips & JJ Aldrich,3,635.0,1.56,0,-1.56,0.0,Mike Malott (W) | Kyler Phillips (L) | JJ Aldrich (W)
UFC Fight Night: Sterling vs. Zalal,2026-04-25,2026-04-26,Youssef Zalal & Rafa Garcia & Raoni Barcelos & Ryan Spann & Talita Alencar,5,7310.0,1.53,0,-1.53,0.0,Youssef Zalal (L) | Rafa Garcia (W) | Raoni Barcelos (W) | Ryan Spann (W) | Talita Alencar (W)
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,2026-05-03,Jack Della Maddalena & Jacob Malkoun & Themba Gorimbo,3,545.0,1.55,0,-1.55,0.0,Jack Della Maddalena (L) | Jacob Malkoun (W) | Themba Gorimbo (L)
UFC 328: Chimaev vs. Strickland,2026-05-09,2026-05-10,Sean Strickland & Sean Brady & Ozzy Diaz & Roman Kopylov & Djorden Santos,5,89809.0,1.51,0,-1.51,0.0,Sean Strickland (W) | Sean Brady (W) | Ozzy Diaz (L) | Roman Kopylov (W) | Djorden Santos (L)
UFC Fight Night: Allen vs. Costa,2026-05-16,2026-05-17,Melquizael Costa & Nikolay Veretennikov & Tuco Tokkos & Ketlen Vieira & Cody Brundage & Polyana Viana & Shauna Bannon,7,73009.0,1.51,0,-1.51,0.0,Melquizael Costa (L) | Nikolay Veretennikov (L) | Tuco Tokkos (L) | Ketlen Vieira (W) | Cody Brundage (W) | Polyana Viana (L) | Shauna Bannon (L)
UFC Fight Night: Song vs. Figueiredo,2026-05-30,2026-06-02,Song Yadong & Tallison Teixeira,2,531.0,1.56,0,-1.56,0.0,Song Yadong (W) | Tallison Teixeira (L)
UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,2026-06-07,Belal Muhammad & Edmen Shahbazyan & Tom Nolan & Santiago Luna & Junior Tafa & Matt Schnell & Edgar Chairez & Chelsea Chandler & Jordan Leavitt,9,1202423.0,1.5,0,-1.5,0.0,Belal Muhammad (L) | Edmen Shahbazyan (L) | Tom Nolan (W) | Santiago Luna (L) | Junior Tafa (L) | Matt Schnell (L) | Edgar Chairez (W) | Chelsea Chandler (W) | Jordan Leavitt (L)
UFC Freedom 250,2026-06-14,2026-06-15,Ciryl Gane & Michael Chandler & Kyle Daukaus & Steve Garcia,4,8804.0,1.54,0,-1.54,0.0,Ciryl Gane (W) | Michael Chandler (L) | Kyle Daukaus (L) | Steve Garcia (L)
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,2026-06-21,Hyder Amil & Kevin Borjas & Melissa Mullins,3,6767.0,1.58,0,-1.58,0.0,Hyder Amil (L) | Kevin Borjas (W) | Melissa Mullins (L)
